field,size,desc,columns
"PXLAYDUR","2","ALLOCATION FLAG","725-726"
"PXLAYFTO","2","ALLOCATION FLAG","727-728"
"PXLKM1","2","ALLOCATION FLAG","729-730"
"PXLKAVL","2","ALLOCATION FLAG","731-732"
"PXLKLL1O","2","ALLOCATION FLAG","733-734"
"PXLKLL2O","2","ALLOCATION FLAG","735-736"
"PXLKLWO","2","ALLOCATION FLAG","737-738"
"PXLKDUR","2","ALLOCATION FLAG","739-740"
"PXLKFTO","2","ALLOCATION FLAG","741-742"
"PXDWWNTO","2","ALLOCATION FLAG","743-744"
"PXDWRSN","2","ALLOCATION FLAG","745-746"
"PXDWLKO","2","ALLOCATION FLAG","747-748"
"PXDWWK","2","ALLOCATION FLAG","749-750"
"PXDW4WK","2","ALLOCATION FLAG","751-752"
"PXDWLKWK","2","ALLOCATION FLAG","753-754"
"PXDWAVL","2","ALLOCATION FLAG","755-756"
"PXDWAVR","2","ALLOCATION FLAG","757-758"
"PXJHWKO","2","ALLOCATION FLAG","759-760"
"PXJHRSN","2","ALLOCATION FLAG","761-762"
"PXJHWANT","2","ALLOCATION FLAG","763-764"
"PXIO1COW","2","ALLOCATION FLAG","765-766"
"PXIO1ICD","2","ALLOCATION FLAG","767-768"
"PXIO1OCD","2","ALLOCATION FLAG","769-770"
"PXIO2COW","2","ALLOCATION FLAG","771-772"
"PXIO2ICD","2","ALLOCATION FLAG","773-774"
"PXIO2OCD","2","ALLOCATION FLAG","775-776"
"PXERNUOT","2","ALLOCATION FLAG","777-778"
"PXERNPER","2","ALLOCATION FLAG","779-780"
"PXERNH1O","2","ALLOCATION FLAG","781-782"
"PXERNHRO","2","ALLOCATION FLAG","783-784"
"PXERN","2","ALLOCATION FLAG","785-786"
"PXPDEMP2","2","ALLOCATION FLAG","787-788"
"PXNMEMP2","2","ALLOCATION FLAG","789-790"
"PXERNWKP","2","ALLOCATION FLAG","791-792"
"PXERNRT","2","ALLOCATION FLAG","793-794"
"PXERNHRY","2","ALLOCATION FLAG","795-796"
"PXERNH2","2","ALLOCATION FLAG","797-798"
"PXERNLAB","2","ALLOCATION FLAG","799-800"
"PXERNCOV","2","ALLOCATION FLAG","801-802"
"PXNLFJH","2","ALLOCATION FLAG","803-804"
"PXNLFRET","2","ALLOCATION FLAG","805-806"
"PXNLFACT","2","ALLOCATION FLAG","807-808"
"PXSCHENR","2","ALLOCATION FLAG","809-810"
"PXSCHFT","2","ALLOCATION FLAG","811-812"
"PXSCHLVL","2","ALLOCATION FLAG","813-814"
"QSTNUM","5","Unique household identifier. Valid only within any specific month.","815-819"
"OCCURNUM","2","Unique person identifier. Valid only within any specific month.","820-821"
"PEDIPGED","2","How did...get...'s high school diploma?","822-823"
"PEHGCOMP","2","What was the highest grade of regular school...completed before receiving...'s GED?","824-825"
"PECYC","2","How many years of college credit has...completed?","826-827"
"FILLER","6","FILLER","8-833"
"PXDIPGED","2","ALLOCATION FLAG","834-835"
"PXHGCOMP","2","ALLOCATION FLAG","836-837"
"PXCYC","2","ALLOCATION FLAG","838-839"
"PXTLWK","2","ALLOCATION FLAG","840-841"
"PXTLWKHR","2","ALLOCATION FLAG","842-843"
"FILLER","2","FILLER","4-845"
"PWCMPWGT","10","Composited Final Weight. Used to create BLS's published labor force statistics (4 implied decimal places)","846-855"
"PEIO1ICD","4","INDUSTRY CODE FOR PRIMARY JOB","856-859"
"PTIO1OCD","4","OCCUPATION CODE FOR PRIMARY JOB.","860-863"
"PEIO2ICD","4","INDUSTRY CODE FOR SECOND JOB.","864-867"
"PTIO2OCD","4","OCCUPATION CODE FOR SECOND JOB.","868-871"
"PRIMIND1","2","INTERMEDIATE INDUSTRY RECODE (JOB 1)","872-873"
"PRIMIND2","2","INTERMEDIATE INDUSTRY RECODE (JOB 2)","874-875"
"PEAFWHN1","2","WHEN DID YOU SERVE?","876-877"
"PEAFWHN2","2","WHEN DID YOU SERVE?","878-879"
"PEAFWHN3","2","WHEN DID YOU SERVE?","880-881"
"PEAFWHN4","2","WHEN DID YOU SERVE?","882-883"
"PXAFEVER","2","ALLOCATION FLAG","884-885"
"PEPAR2","2","LINE NUMBER OF FIRST PARENT (ALWAYS THE FATHER, IF PRESENT. WILL BE A FEMALE IF THE PARENTS ARE SAME SEX.)","886-887"
"PEPAR1","2","LINE NUMBER OF SECOND PARENT (ALWAYS THE MOTHER, IF PRESENT. WILL BE A MALE IF THE PARENTS ARE SAME SEX.)","888-889"
"PEPAR2TYP","2","TYPE OF PEPAR2","890-891"
"PEPAR1TYP","2","TYPE OF PEPAR1","892-893"
"PECOHAB","2","LINE NUMBER OF COHABITING PARTNER","894-895"
"PXPAR2","2","ALLOCATION FLAG","896-897"
"PXPAR1","2","ALLOCATION FLAG","898-899"
"PXPAR2TYP","2","ALLOCATION FLAG","900-901"
"PXPAR1TYP","2","ALLOCATION FLAG","902-903"
"PXCOHAB","2","ALLOCATION FLAG","904-905"
"PEDISEAR","2","IS…DEAF OR DOES…HAVE SERIOUS DIFFICULTY HEARING?","906-907"
"PEDISEYE","2","IS…BLIND OR DOES…HAVE SERIOUS DIFFICULTY SEEING EVEN WHEN WEARING GLASSES?","908-909"
"PEDISREM","2","BECAUSE OF A PHYSICAL, MENTAL, OR EMOTIONAL CONDITION, DOES…HAVE SERIOUS DIFFICULTY CONCENTRATING, REMEMBERING, OR MAKING DECISIONS?","910-911"
"PEDISPHY","2","DOES…HAVE SERIOUS DIFFICULTY WALKING OR CLIMBING STAIRS?","912-913"
"PEDISDRS","2","DOES … HAVE DIFFICULTY DRESSING OR BATHING?","914-915"
"PEDISOUT","2","BECAUSE OF A PHYSICAL, MENTAL, OR EMOTIONAL CONDITION DOES…HAVE DIFFICULTY DOING ERRANDS ALONE SUCH AS VISITING A DOCTOR'S OFFICE OR SHOPPING?","916-917"
"PRDISFLG","2","DOES THIS PERSON HAVE ANY OF THESE DISABILITY CONDITIONS?","918-919"
"PXDISEAR","2","ALLOCATION FLAG","920-921"
"PXDISEYE","2","ALLOCATION FLAG","922-923"
"PXDISREM","2","ALLOCATION FLAG","924-925"
"PXDISPHY","2","ALLOCATION FLAG","926-927"
"PXDISDRS","2","ALLOCATION FLAG","928-929"
"PXDISOUT","2","ALLOCATION FLAG","930-931"
"HXFAMINC","2","ALLOCATION FLAG","932-933"
"PRDASIAN","2","DETAILED ASIAN RACE RECODE","934-935"
"PEPDEMP1","2","DOES THIS PERSON USUALLY HAVE ANY PAID EMPLOYEES?","936-937"
"PTNMEMP1","2","EXCLUDING ALL OWNERS, HOW MANY PAID EMPLOYEES DOES THIS PERSON USUALLY HAVE? See location 681-682 for the allocation flag. EDITED UNIVERSE: PEPDEMP1 = 1","938-939"
"PEPDEMP2","2","DOES THIS PERSON USUALLY HAVE ANY PAID EMPLOYEES?","940-941"
"PTNMEMP2","2","EXCLUDING ALL OWNERS, HOW MANY PAID EMPLOYEES DOES THIS PERSON USUALLY HAVE?","942-943"
"PECERT1","2","DOES … HAVE A CURRENTLY ACTIVE PROFESSIONAL CERTIFICATION OR A STATE OR INDUSTRY LICENSE? DO NOT INCLUDE BUSINESS LICENSES, SUCH AS A LIQUOR LICENSE OR VENDING LICENSE.","944-945"
"PECERT2","2","WERE ANY OF …’S CERTIFICATIONS OR LICENSES ISSUED BY THE FEDERAL, STATE, OR LOCAL GOVERNMENT?","946-947"
"PECERT3","2","EARLIER YOU TOLD ME THAT YOU HAD A CURRENTLY ACTIVE PROFESSIONAL CERTIFICATION OR LICENSE. IS YOUR CERTIFICATION OR LICENSE REQUIRED FOR YOUR …","948-949"
"PXCERT1","2","ALLOCATION FLAG","950-951"
"PXCERT2","2","ALLOCATION FLAG","952-953"
"PXCERT3","2","ALLOCATION FLAG","954-955"
"FILLER","45","FILLER","6-1000"
